price;host_since;neighbourhood_cleansed;city;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;cleaning_fee;guests_included;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;calculated_host_listings_count;apartment;house;private_room;shared_room;strict_cancel;flexible_cancel;moderate_cancel
195.0;2632.0;1;1;4.0;1.0;1.0;1.0;1;0;0.0;2.0;3.0;90.0;2.0;1;21.770801073508288;1.0;0.0;0.0;0.0;1.0;0.0;0.0
150.0;3201.0;1;1;2.0;1.5;1.0;1.0;1;14;50.0;2.0;2.0;1125.0;2.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
140.0;4015.0;1;1;6.0;1.0;2.0;3.0;1;9;75.0;4.0;4.0;90.0;53.0;1;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
110.0;2745.0;1;1;3.0;1.0;0.0;2.0;1;12;35.0;0.0;2.0;1125.0;32.0;1;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
119.0;3033.0;1;1;2.0;1.0;1.0;1.0;0;11;50.0;0.0;4.0;14.0;3.0;1;3.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
49.0;3046.0;0;1;1.0;1.0;1.0;1.0;1;10;35.0;1.0;1.0;1125.0;1.0;1;5.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
195.0;1920.0;1;1;7.0;1.5;3.0;5.0;1;16;90.0;4.0;2.0;28.0;1.0;0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
110.0;2560.0;1;1;2.0;1.0;1.0;1.0;1;12;20.0;1.0;1.0;3.0;0.0;1;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
149.0;2178.0;1;1;4.0;1.0;3.0;2.0;1;18;30.0;1.0;1.0;1125.0;33.0;0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
119.0;2235.0;1;1;2.0;1.0;1.0;1.0;1;12;25.0;1.0;2.0;1125.0;4.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
229.0;2247.0;1;1;5.0;2.5;2.0;2.0;1;19;0.0;4.0;2.0;8.0;4.0;1;3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
95.0;2415.0;1;0;2.0;1.0;1.0;2.0;1;12;0.0;0.0;2.0;1125.0;11.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
90.0;1869.0;1;1;1.0;1.0;1.0;1.0;1;13;15.0;1.0;1.0;1125.0;1.0;1;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
125.0;2155.0;0;1;8.0;1.0;3.0;4.0;1;17;120.0;4.0;2.0;1125.0;18.0;1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
155.0;2208.0;1;1;3.0;1.0;1.0;2.0;1;13;75.0;2.0;3.0;365.0;27.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
85.0;2635.0;1;1;2.0;1.0;1.0;1.0;1;14;15.0;2.0;1.0;1125.0;23.0;1;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
89.0;2116.0;0;1;2.0;1.0;1.0;1.0;1;13;0.0;1.0;1.0;1125.0;0.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
65.0;4070.0;0;1;2.0;1.0;1.0;1.0;1;18;25.0;1.0;3.0;1000.0;21.0;1;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
99.0;3027.0;1;1;2.0;1.0;1.0;1.0;1;14;0.0;1.0;2.0;1125.0;6.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
125.0;2904.0;1;1;4.0;1.0;1.0;2.0;1;12;20.0;2.0;2.0;29.0;85.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
125.0;2179.0;1;1;3.0;1.0;2.0;2.0;1;15;0.0;1.0;1.0;61.0;24.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
91.0;2379.0;0;1;3.0;1.0;1.0;2.0;1;17;55.0;2.0;4.0;1125.0;0.0;1;7.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
125.0;2689.0;1;1;1.0;1.0;1.0;1.0;1;11;0.0;1.0;2.0;5.0;5.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
150.0;1959.0;0;1;2.0;1.0;1.0;1.0;1;11;0.0;1.0;1.0;1125.0;2.0;1;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
89.0;2064.0;0;1;2.0;1.0;1.0;2.0;1;9;0.0;1.0;1.0;1125.0;1.0;1;21.770801073508288;1.0;0.0;1.0;0.0;1.0;0.0;0.0
